startDate,endDate,countryName,ISO,location,disasterType,disasterSubtype,totalDeaths,totalAffected,disasterID
00/08/1995,00/00/1995,Zambia,ZMB,"Southern, Western, Central & Eastern Lusaka Provinces",Drought,Drought,,1273204,1995-9268
00/00/1995,00/00/1996,Namibia,NAM,,Drought,Drought,,163200,1995-9269
00/12/1995,00/00/1995,South Africa,ZAF,Nebo District (Northern provinces),Drought,Drought,,300000,1995-9436
8/4/96,9/5/96,Mongolia,MNG,"Huvsgul, Bulgan, Arkhangai, Khentii, Tuv, Dornod, Uvs",Wildfire,Forest fire,25,5061,1996-0074
00/05/1996,00/05/1996,Russian Federation (the),RUS,Irkoutz (Siberia),Wildfire,Forest fire,19,600,1996-0100
31/07/1996,31/07/1996,Turkey,TUR,Near Marmaris,Wildfire,Forest fire,,500,1996-0175
00/12/1996,00/00/1997,Rwanda,RWA,Ginkongoro,Drought,Drought,,82000,1996-9089
00/02/1996,00/00/1996,Djibouti,DJI,"Gouvetto, Kabah-Kabah, Assamo, Guestir, Ali-Addeh, Hol-Hol (Ali-Sabieh dist.), Yokobi, Asseyla (Dikhil dist.), Makrassoul, Dorba, Assa-Guela, Dabnou, Adgueno, Assal, Neima, Debne-Auri, Bahlo (Tadjourah dist.), Adguenou (Obock dist.), Damerjob, Artawea",Drought,Drought,,100000,1996-9119
00/12/1996,00/00/1996,Sudan (the),SDN,Beja (Red Sea state),Drought,Drought,,160000,1996-9220
00/01/1997,00/00/1998,Kenya,KEN,"Garissa, Isiolo, Wajir, Mandera, Turkana, Baringo, Kifili, Meru, Makueni, Marsabit/moyale, Tana river, Kitui, Mwingi, Mbere, Tharaka Nithi, Nyambene, Machakos, Taita Taveta, Muranga/Makuyu/Maragwa, Kajiado, Kilifi districts",Drought,Drought,,1600000,1996-9326
00/00/1996,00/00/2000,"Tanzania, United Republic of",TZA,"Lake Victoria, North East, Coastal Region",Drought,Drought,,3000000,1996-9326
00/03/1996,00/04/1996,India,IND,Rajasthan,Drought,Drought,,,1996-9328
